#k-distance eigenvalue[eV]
3.36790494 -19.82960000
3.37801912 -19.82960000
3.38813330 -19.82960000
3.39824748 -19.82960000
3.40836166 -19.82960000
3.41847583 -19.82970000
3.42859001 -19.82970000
3.43870418 -19.82970000
3.44881837 -19.82970000
3.45893254 -19.82970000
3.46904672 -19.82970000
3.47916090 -19.82970000
3.47916090 -19.82970000
3.48935643 -19.82970000
3.49955197 -19.82970000
3.50974751 -19.82970000
3.51994306 -19.82970000
3.53013860 -19.82970000
3.54033414 -19.82970000
3.55052967 -19.82980000
3.56072521 -19.82980000
3.57092075 -19.82980000
3.58111630 -19.82980000
3.59131184 -19.82980000
3.60150738 -19.82980000
3.61170291 -19.82980000
3.62189845 -19.82990000
3.63209399 -19.82990000
3.64228954 -19.82990000
3.65248508 -19.82990000
3.66268061 -19.83000000
3.67287615 -19.83000000
3.68307169 -19.83000000
3.69326723 -19.83010000
3.70346278 -19.83010000
3.71365832 -19.83010000
3.72385385 -19.83010000
3.73404939 -19.83020000
3.74424493 -19.83020000
3.75444047 -19.83020000
3.76463602 -19.83030000
3.77483156 -19.83030000
3.78502709 -19.83030000
3.79522263 -19.83040000
3.80541817 -19.83040000
3.81561371 -19.83040000
3.82580926 -19.83040000
3.83600480 -19.83050000
3.84620033 -19.83050000
3.85639587 -19.83050000
3.86659141 -19.83060000
3.87678695 -19.83050000
3.88698250 -19.83060000
3.89717803 -19.83060000
3.90737357 -19.83060000
3.91756911 -19.83060000
3.92776465 -19.83060000
3.93796019 -19.83060000
3.94815574 -19.83060000
3.95835127 -19.83060000
3.96854681 -19.83060000
3.97874235 -19.83060000

0.00000000 -16.53380000
0.01009415 -16.53380000
0.02018831 -16.53380000
0.03028246 -16.53380000
0.04037662 -16.53380000
0.05047077 -16.53380000
0.06056493 -16.53380000
0.07065908 -16.53380000
0.08075323 -16.53380000
0.09084739 -16.53380000
0.10094155 -16.53380000
0.11103570 -16.53380000
0.12112985 -16.53380000
0.13122401 -16.53380000
0.14131816 -16.53380000
0.15141231 -16.53380000
0.16150648 -16.53380000
0.17160063 -16.53380000
0.18169478 -16.53380000
0.19178893 -16.53380000
0.20188309 -16.53380000
0.21197724 -16.53380000
0.22207140 -16.53380000
0.23216556 -16.53380000
0.24225971 -16.53380000
0.25235386 -16.53380000
0.26244801 -16.53380000
0.27254217 -16.53380000
0.28263633 -16.53380000
0.29273048 -16.53380000
0.30282464 -16.53380000
0.31291879 -16.53380000
0.32301294 -16.53380000
0.33310709 -16.53380000
0.34320126 -16.53380000
0.35329541 -16.53380000
0.36338956 -16.53380000
0.37348372 -16.53380000
0.38357787 -16.53380000
0.39367202 -16.53380000
0.40376618 -16.53380000
0.41386034 -16.53380000
0.42395449 -16.53380000
0.43404864 -16.53380000
0.44414280 -16.53380000
0.45423695 -16.53380000
0.46433111 -16.53380000
0.47442526 -16.53380000
0.48451942 -16.53380000
0.49461357 -16.53380000
0.49461357 -16.53380000
0.50480911 -16.53380000
0.51500465 -16.53370000
0.52520019 -16.53370000
0.53539573 -16.53360000
0.54559127 -16.53360000
0.55578681 -16.53350000
0.56598235 -16.53330000
0.57617789 -16.53320000
0.58637342 -16.53310000
0.59656897 -16.53290000
0.60676451 -16.53280000
0.61696005 -16.53260000
0.62715559 -16.53240000
0.63735113 -16.53220000
0.64754666 -16.53200000
0.65774221 -16.53180000
0.66793775 -16.53150000
0.67813329 -16.53130000
0.68832883 -16.53110000
0.69852437 -16.53080000
0.70871990 -16.53060000
0.71891545 -16.53030000
0.72911099 -16.53010000
0.73930653 -16.52980000
0.74950207 -16.52960000
0.75969761 -16.52940000
0.76989314 -16.52910000
0.78008869 -16.52890000
0.79028423 -16.52870000
0.80047977 -16.52840000
0.81067531 -16.52820000
0.82087084 -16.52800000
0.83106638 -16.52780000
0.84126193 -16.52760000
0.85145747 -16.52750000
0.86165301 -16.52730000
0.87184855 -16.52720000
0.88204408 -16.52700000
0.89223962 -16.52690000
0.90243517 -16.52680000
0.91263071 -16.52660000
0.92282625 -16.52650000
0.93302179 -16.52650000
0.94321732 -16.52640000
0.95341286 -16.52630000
0.96360841 -16.52630000
0.97380395 -16.52630000
0.98399949 -16.52620000
0.99419503 -16.52620000
0.99419503 -16.52620000
1.00430920 -16.52620000
1.01442338 -16.52620000
1.02453755 -16.52610000
1.03465174 -16.52610000
1.04476591 -16.52600000
1.05488009 -16.52580000
1.06499427 -16.52570000
1.07510844 -16.52560000
1.08522262 -16.52540000
1.09533680 -16.52520000
1.10545098 -16.52500000
1.11556516 -16.52480000
1.12567933 -16.52450000
1.13579351 -16.52430000
1.14590768 -16.52400000
1.15602187 -16.52370000
1.16613604 -16.52340000
1.17625022 -16.52310000
1.18636440 -16.52280000
1.19647857 -16.52250000
1.20659275 -16.52220000
1.21670693 -16.52190000
1.22682111 -16.52150000
1.23693529 -16.52120000
1.24704946 -16.52090000
1.25716364 -16.52060000
1.26727781 -16.52030000
1.27739200 -16.51990000
1.28750617 -16.51960000
1.29762035 -16.51930000
1.30773453 -16.51900000
1.31784870 -16.51870000
1.32796288 -16.51850000
1.33807706 -16.51820000
1.34819124 -16.51800000
1.35830542 -16.51770000
1.36841959 -16.51750000
1.37853377 -16.51730000
1.38864794 -16.51710000
1.39876213 -16.51690000
1.40887630 -16.51680000
1.41899048 -16.51660000
1.42910466 -16.51650000
1.43921883 -16.51640000
1.44933301 -16.51630000
1.45944719 -16.51620000
1.46956137 -16.51620000
1.47967555 -16.51620000
1.48978972 -16.51610000
1.48978972 -16.51610000
1.49998526 -16.51620000
1.51018080 -16.51620000
1.52037634 -16.51620000
1.53057188 -16.51630000
1.54076742 -16.51640000
1.55096296 -16.51650000
1.56115850 -16.51660000
1.57135404 -16.51670000
1.58154958 -16.51690000
1.59174512 -16.51700000
1.60194066 -16.51720000
1.61213620 -16.51740000
1.62233174 -16.51760000
1.63252728 -16.51780000
1.64272281 -16.51810000
1.65291836 -16.51830000
1.66311390 -16.51860000
1.67330944 -16.51880000
1.68350498 -16.51910000
1.69370052 -16.51940000
1.70389605 -16.51970000
1.71409160 -16.52000000
1.72428714 -16.52030000
1.73448268 -16.52060000
1.74467822 -16.52090000
1.75487376 -16.52130000
1.76506929 -16.52160000
1.77526484 -16.52190000
1.78546038 -16.52220000
1.79565592 -16.52250000
1.80585146 -16.52280000
1.81604699 -16.52310000
1.82624253 -16.52340000
1.83643808 -16.52370000
1.84663362 -16.52390000
1.85682916 -16.52420000
1.86702470 -16.52440000
1.87722023 -16.52460000
1.88741577 -16.52490000
1.89761132 -16.52510000
1.90780686 -16.52520000
1.91800240 -16.52540000
1.92819794 -16.52550000
1.93839347 -16.52560000
1.94858901 -16.52570000
1.95878456 -16.52580000
1.96898010 -16.52590000
1.97917564 -16.52590000
1.98937118 -16.52590000
1.98937118 -16.52590000
1.99946533 -16.52590000
2.00955948 -16.52590000
2.01965363 -16.52590000
2.02974780 -16.52590000
2.03984195 -16.52590000
