# energy dos
-2.082160000000000366e+01 0.000000000000000000e+00
-2.081560000000000343e+01 0.000000000000000000e+00
-2.080960000000000321e+01 0.000000000000000000e+00
-2.080360000000000298e+01 0.000000000000000000e+00
-2.079749999999999943e+01 0.000000000000000000e+00
-2.079149999999999920e+01 0.000000000000000000e+00
-2.078549999999999898e+01 0.000000000000000000e+00
-2.077949999999999875e+01 0.000000000000000000e+00
-2.077349999999999852e+01 0.000000000000000000e+00
-2.076740000000000208e+01 0.000000000000000000e+00
-2.076140000000000185e+01 0.000000000000000000e+00
-2.075540000000000163e+01 0.000000000000000000e+00
-2.074940000000000140e+01 0.000000000000000000e+00
-2.074329999999999785e+01 0.000000000000000000e+00
-2.073729999999999762e+01 0.000000000000000000e+00
-2.073129999999999740e+01 0.000000000000000000e+00
-2.072529999999999717e+01 0.000000000000000000e+00
-2.071920000000000073e+01 0.000000000000000000e+00
-2.071320000000000050e+01 0.000000000000000000e+00
-2.070720000000000027e+01 0.000000000000000000e+00
-2.070120000000000005e+01 0.000000000000000000e+00
-2.069519999999999982e+01 0.000000000000000000e+00
-2.068910000000000338e+01 0.000000000000000000e+00
-2.068310000000000315e+01 0.000000000000000000e+00
-2.067710000000000292e+01 0.000000000000000000e+00
-2.067110000000000269e+01 0.000000000000000000e+00
-2.066499999999999915e+01 0.000000000000000000e+00
-2.065899999999999892e+01 0.000000000000000000e+00
-2.065299999999999869e+01 0.000000000000000000e+00
-2.064699999999999847e+01 0.000000000000000000e+00
-2.064090000000000202e+01 0.000000000000000000e+00
-2.063490000000000180e+01 0.000000000000000000e+00
-2.062890000000000157e+01 0.000000000000000000e+00
-2.062290000000000134e+01 0.000000000000000000e+00
-2.061679999999999779e+01 0.000000000000000000e+00
-2.061079999999999757e+01 0.000000000000000000e+00
-2.060479999999999734e+01 0.000000000000000000e+00
-2.059880000000000422e+01 0.000000000000000000e+00
-2.059280000000000399e+01 0.000000000000000000e+00
-2.058670000000000044e+01 0.000000000000000000e+00
-2.058070000000000022e+01 0.000000000000000000e+00
-2.057469999999999999e+01 0.000000000000000000e+00
-2.056869999999999976e+01 0.000000000000000000e+00
-2.056260000000000332e+01 0.000000000000000000e+00
-2.055660000000000309e+01 0.000000000000000000e+00
-2.055060000000000286e+01 0.000000000000000000e+00
-2.054460000000000264e+01 0.000000000000000000e+00
-2.053849999999999909e+01 0.000000000000000000e+00
-2.053249999999999886e+01 0.000000000000000000e+00
-2.052649999999999864e+01 0.000000000000000000e+00
-2.052049999999999841e+01 0.000000000000000000e+00
-2.051449999999999818e+01 0.000000000000000000e+00
-2.050840000000000174e+01 0.000000000000000000e+00
-2.050240000000000151e+01 0.000000000000000000e+00
-2.049640000000000128e+01 0.000000000000000000e+00
-2.049040000000000106e+01 0.000000000000000000e+00
-2.048429999999999751e+01 0.000000000000000000e+00
-2.047829999999999728e+01 0.000000000000000000e+00
-2.047230000000000416e+01 0.000000000000000000e+00
-2.046630000000000393e+01 0.000000000000000000e+00
-2.046020000000000039e+01 0.000000000000000000e+00
-2.045420000000000016e+01 0.000000000000000000e+00
-2.044819999999999993e+01 0.000000000000000000e+00
-2.044219999999999970e+01 0.000000000000000000e+00
-2.043619999999999948e+01 0.000000000000000000e+00
-2.043010000000000304e+01 0.000000000000000000e+00
-2.042410000000000281e+01 0.000000000000000000e+00
-2.041810000000000258e+01 0.000000000000000000e+00
-2.041210000000000235e+01 0.000000000000000000e+00
-2.040599999999999881e+01 0.000000000000000000e+00
-2.039999999999999858e+01 0.000000000000000000e+00
-2.039399999999999835e+01 0.000000000000000000e+00
-2.038799999999999812e+01 0.000000000000000000e+00
-2.038190000000000168e+01 0.000000000000000000e+00
-2.037590000000000146e+01 0.000000000000000000e+00
-2.036990000000000123e+01 0.000000000000000000e+00
-2.036390000000000100e+01 0.000000000000000000e+00
-2.035779999999999745e+01 0.000000000000000000e+00
-2.035179999999999723e+01 0.000000000000000000e+00
-2.034580000000000410e+01 0.000000000000000000e+00
-2.033980000000000388e+01 0.000000000000000000e+00
-2.033380000000000365e+01 0.000000000000000000e+00
-2.032770000000000010e+01 0.000000000000000000e+00
-2.032169999999999987e+01 0.000000000000000000e+00
-2.031569999999999965e+01 0.000000000000000000e+00
-2.030969999999999942e+01 0.000000000000000000e+00
-2.030360000000000298e+01 0.000000000000000000e+00
-2.029760000000000275e+01 0.000000000000000000e+00
-2.029160000000000252e+01 0.000000000000000000e+00
-2.028560000000000230e+01 0.000000000000000000e+00
-2.027949999999999875e+01 0.000000000000000000e+00
-2.027349999999999852e+01 0.000000000000000000e+00
-2.026749999999999829e+01 0.000000000000000000e+00
-2.026149999999999807e+01 0.000000000000000000e+00
-2.025549999999999784e+01 0.000000000000000000e+00
-2.024940000000000140e+01 0.000000000000000000e+00
-2.024340000000000117e+01 0.000000000000000000e+00
-2.023740000000000094e+01 0.000000000000000000e+00
-2.023140000000000072e+01 0.000000000000000000e+00
